vendor_source	archives_naming_it	category	prototypes_recovered	generated_header
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/qmf.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libFDK/src/scale.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPDec/src/tpdec_adif.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPDec/src/tpdec_adts.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPDec/src/tpdec_asc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPDec/src/tpdec_drm.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPDec/src/tpdec_latm.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPDec/src/tpdec_lib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPEnc/src/tpenc_adif.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPEnc/src/tpenc_adts.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPEnc/src/tpenc_asc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPEnc/src/tpenc_latm.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libMpegTPEnc/src/tpenc_lib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libPCMutils/src/limiter.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libPCMutils/src/pcm_utils.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libPCMutils/src/pcmdmx_lib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_bitdec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_calcM1andM2.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_dec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_dec_conceal.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_dec_lib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_process.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_qmf.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_reshapeBBEnv.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_rom.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_smoothing.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_stp.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACdec/src/sac_tsd.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_bitstream.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_delay.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_dmx_tdom_enh.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_filter.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_framewindowing.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_huff_tab.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_lib.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_nlc_enc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_onsetdetect.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_paramextract.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_staticgain.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_tree.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSACenc/src/sacenc_vectorfunctions.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/HFgen_preFlat.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/env_calc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/env_dec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/env_extr.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/hbe.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/huff_dec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/lpp_tran.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/psbitdec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/psdec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/psdec_drm.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/psdecrom_drm.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/pvc_dec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbr_crc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbr_deb.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbr_dec.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbr_ram.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbr_rom.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbrdec_drc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbrdec_freq_sca.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRdec/src/sbrdecoder.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/bit_sbr.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/code_env.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/env_bit.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/env_est.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/fram_gen.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/invf_est.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/mh_det.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/nf_est.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/ps_bitenc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/ps_encode.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/ps_main.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/resampler.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/sbr_encoder.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/sbr_misc.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/sbrenc_freq_sca.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/sbrenc_ram.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/sbrenc_rom.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/ton_corr.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSBRenc/src/tran_det.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSYS/src/genericStds.c	2	third-party		
services/multimedia/audio/codec/fdkaac_codec_2_0_1/libSYS/src/syslib_channelMapDescr.c	2	third-party		
services/multimedia/audio/codec/sbc/src/codec_sbc.c	2	BES		
services/multimedia/audio/codec/sbc/src/sbc.c	2	BES		
services/multimedia/audio/codec/sbc/src/sbc_filter.c	2	BES		
services/multimedia/audio/process/adj_mc/src/adj_mc.c	2	BES	8	yes
services/multimedia/audio/process/adj_mc/src/fftfilt2.c	2	BES		
services/multimedia/audio/process/adp/src/adp_fftwrap.c	2	BES	4	
services/multimedia/audio/process/adp/src/adp_filter.c	2	BES		
services/multimedia/audio/process/adp/src/adp_smallft.c	2	BES		
services/multimedia/audio/process/anc/src/best2300p/anc_process_best2300p.c	2	BES	23	
services/multimedia/audio/process/common/src/audio_memory.c	2	BES		
services/multimedia/audio/process/common/src/audio_memory_simu.c	2	BES		
services/multimedia/audio/process/drc/src/crossover_filter.c	2	BES		
